name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,vat,quantity,min_stock,published
TAR AD 28 KAPER,,TAR-AD-28,,Unbranded,pcs,,1480.00,1480.00,default,8,0,yes
O/S 48-62-9/24 SNAK HUB S/HILUX,,O/S-48-62-9/24-SNAK,,Unbranded,pcs,,115.00,115.00,default,70,0,yes
O/S 48-62-9/24 HUB O/S HILUX,,O/S-48-62-9/24,,Unbranded,pcs,,68.00,68.00,default,28,0,yes
CHUMTA PIN RBR HILUX,,CHUMTA-PIN-RBR,,Unbranded,pcs,,45.00,45.00,default,12,0,yes
PIKIN KIT HEAD KIT,,PIKIN-KIT,,Unbranded,pcs,,216.00,216.00,default,17,0,yes
SLINSEER JALI BOUBLE COROLLA,,SLINSEER-JALI-BOUBLE,,Unbranded,pcs,,1175.00,1175.00,default,12,0,yes
O/S 38-58-11 CHILAM HILUX,,O/S-38-58-11,,Unbranded,pcs,,48.00,48.00,default,3,0,yes
M/S 3 NATA BRAKE SYLINDER 2.D,,M/S-3-NATA,,Unbranded,pcs,,2922.00,2922.00,default,1,0,yes
36-SK . BELT,,36-SK-.,,Unbranded,pcs,,139.00,139.00,default,8,0,yes
1170-4PK BELT,,1170-4PK,,Unbranded,pcs,,254.00,254.00,default,1,0,yes
830-4PK BELT,,830-4PK,,Unbranded,pcs,,165.00,165.00,default,7,0,yes
1210-5PK BELT,,1210-5PK,,Unbranded,pcs,,289.00,289.00,default,6,0,yes
4017 BEARING,,4017,,Unbranded,pcs,,1310.00,1310.00,default,8,0,yes
O/S 35-55-9.15. AXCEL DIESEL,,O/S-35-55-9.15.,,Unbranded,pcs,,52.00,52.00,default,6,0,yes
"JAT 70,75,85,80,90",,JAT,,Unbranded,pcs,,37.00,37.00,default,120,0,yes
PLUG WEAR 660 660 C SUZUKI,,PLUG-WEAR-660,,Unbranded,pcs,,815.00,815.00,default,5,0,yes
TIE CLIMP 350MM. 4.8,,TIE-CLIMP-350MM.,,Unbranded,pcs,,227.00,227.00,default,155,0,yes
PUMP KIT 1NZ XLI/GLI,,PUMP-KIT,,Unbranded,pcs,,63.00,63.00,default,174,0,yes
WATER BODY 57A 1-C/2-C,,WATER-BODY-57A,,Unbranded,pcs,,3430.00,3430.00,default,11,0,yes
TIPAT GEN 1.C,,TIPAT-GEN-1.C,,Unbranded,pcs,,190.00,190.00,default,20,0,yes
O/S 79-99-9,,O/S-79-99-9,,Unbranded,pcs,,140.00,140.00,default,30,0,yes
O/S 44-62-8/4,,O/S-44-62-8/4,,Unbranded,pcs,,110.00,110.00,default,10,0,yes
STEERING D BOOT BIG GOL,,STEERING-D-BOOT-BIG-GOL,,Unbranded,pcs,,44.00,44.00,default,26,0,yes
O/S 30-44-7,,O/S-30-44-7,,Unbranded,pcs,,60.00,60.00,default,11,0,yes
O/S 47-80-10,,O/S-47-80-10,,Unbranded,pcs,,95.00,95.00,default,13,0,yes
TIE CLIMP 300*3.6MM,,TIE-CLIMP-300*3.6MM,,Unbranded,pcs,,147.00,147.00,default,61,0,yes
O/S 52-65-9,,O/S-52-65-9,,Unbranded,pcs,,77.00,77.00,default,45,0,yes
O/S 35-57-9.15,,O/S-35-57-9.15,,Unbranded,pcs,,163.00,163.00,default,25,0,yes
O/S 35-62-10.15,,O/S-35-62-10.15,,Unbranded,pcs,,143.00,143.00,default,30,0,yes
O/S 45-72-12,,O/S-45-72-12,,Unbranded,pcs,,143.00,143.00,default,40,0,yes
CLIMP 1/2 SIZE,,CLIMP-1/2-SIZE,,Unbranded,pcs,,22.00,22.00,default,138,0,yes
TAP CRICKET,,TAP-CRICKET,,Unbranded,pcs,,228.00,228.00,default,1,0,yes
TAR AD 18,,TAR-AD-18,,Unbranded,pcs,,930.00,930.00,default,8,0,yes
SHOKE GLASS SUZUKI F,,SHOKE-GLASS-SUZUKI-F,,Unbranded,pcs,,43.00,43.00,default,66,0,yes
SHOKE RBR SUZUKI,,SHOKE-RBR-SUZUKI,,Unbranded,pcs,,28.00,28.00,default,72,0,yes
CHAMRA WASHER 14,,CHAMRA-WASHER-14,,Unbranded,pcs,,70.00,70.00,default,7,0,yes
WATER BODY PIKAN 1.C,,WATER-BODY-PIKAN-1.C,,Unbranded,pcs,,75.00,75.00,default,5,0,yes
TIE RAD BOOT MAZDA 3 SURAH,,TIE-RAD-BOOT-MAZDA-3-SURAH,,Unbranded,pcs,,25.00,25.00,default,12,0,yes
STEERING D BOOT CUT,,STEERING-D-BOOT-CUT,,Unbranded,pcs,,20.00,20.00,default,36,0,yes
STEERING D BOOT SADA,,STEERING-D-BOOT-SADA,,Unbranded,pcs,,32.00,32.00,default,20,0,yes
PISTON BOOT COROLA,,PISTON-BOOT-COROLA,,Unbranded,pcs,,20.00,20.00,default,18,0,yes
PISTON BOOT XLI,,PISTON-BOOT-XLI,,Unbranded,pcs,,31.00,31.00,default,180,0,yes
RADIATOR CAP 124 COROLA MAZDA SUZUKI,,RADIATOR-CAP-124,,Unbranded,pcs,,174.00,174.00,default,64,0,yes
AL2342 BREAK SHOE R X/G O/M,,AL2342,,Unbranded,pcs,,700.00,700.00,default,1,0,yes
GASKIT 1ZR,,GASKIT-1ZR,,Unbranded,pcs,,560.00,560.00,default,4,0,yes
GASKIT 4E/5E 16 VALE,,GASKIT-4E/5E,,Unbranded,pcs,,580.00,580.00,default,2,0,yes
