name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,vat,quantity,min_stock,published
Almarai Fresh Milk 200ml,حليب المراعي الطازج ٢٠٠ مل,BAQ-0001,,Dairy,pcs,,0.00,0.00,default,0,0,no
Almarai Fresh Milk 1L,حليب المراعي الطازج ١ لتر,BAQ-0002,,Dairy,L,,0.00,0.00,default,0,0,no
Almarai Fresh Milk 2L,حليب المراعي الطازج ٢ لتر,BAQ-0003,,Dairy,L,,0.00,0.00,default,0,0,no
Almarai Low Fat Milk 1L,حليب المراعي قليل الدسم ١ لتر,BAQ-0004,,Dairy,L,,0.00,0.00,default,0,0,no
Almarai Full Fat UHT Milk 1L,حليب المراعي كامل الدسم طويل الأجل ١ لتر,BAQ-0005,,Dairy,L,,0.00,0.00,default,0,0,no
Almarai Laban 200ml,لبن المراعي ٢٠٠ مل,BAQ-0006,,Dairy,pcs,,0.00,0.00,default,0,0,no
Almarai Laban 1L,لبن المراعي ١ لتر,BAQ-0007,,Dairy,L,,0.00,0.00,default,0,0,no
Almarai Laban 2L,لبن المراعي ٢ لتر,BAQ-0008,,Dairy,L,,0.00,0.00,default,0,0,no
Almarai Yogurt Plain 170g,زبادي المراعي الطبيعي ١٧٠ جم,BAQ-0009,,Dairy,cup,,0.00,0.00,default,0,0,no
Almarai Yogurt Strawberry 170g,زبادي المراعي بالفراولة ١٧٠ جم,BAQ-0010,,Dairy,cup,,0.00,0.00,default,0,0,no
Almarai Yogurt Mixed Fruit 170g,زبادي المراعي بالفواكه المشكلة ١٧٠ جم,BAQ-0011,,Dairy,cup,,0.00,0.00,default,0,0,no
Almarai Greek Yogurt 150g,زبادي المراعي اليوناني ١٥٠ جم,BAQ-0012,,Dairy,cup,,0.00,0.00,default,0,0,no
Almarai Labneh 200g,لبنة المراعي ٢٠٠ جم,BAQ-0013,,Dairy,cup,,0.00,0.00,default,0,0,no
Almarai Labneh 400g,لبنة المراعي ٤٠٠ جم,BAQ-0014,,Dairy,cup,,0.00,0.00,default,0,0,no
Almarai Cheese Slices 200g,شرائح جبن المراعي ٢٠٠ جم,BAQ-0015,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Cheddar Cheese 400g,جبن شيدر المراعي ٤٠٠ جم,BAQ-0016,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Feta Cheese 200g,جبنة فيتا المراعي ٢٠٠ جم,BAQ-0017,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Feta Cheese 400g,جبنة فيتا المراعي ٤٠٠ جم,BAQ-0018,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Cream Cheese 150g,جبنة كريمية المراعي ١٥٠ جم,BAQ-0019,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Cream Cheese 250g,جبنة كريمية المراعي ٢٥٠ جم,BAQ-0020,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Butter 100g,زبدة المراعي ١٠٠ جم,BAQ-0021,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Butter 200g,زبدة المراعي ٢٠٠ جم,BAQ-0022,,Dairy,pkt,,0.00,0.00,default,0,0,no
Almarai Cooking Cream 250ml,قشطة الطبخ المراعي ٢٥٠ مل,BAQ-0023,,Dairy,pcs,,0.00,0.00,default,0,0,no
Almarai Fresh Cream 250ml,قشطة طازجة المراعي ٢٥٠ مل,BAQ-0024,,Dairy,pcs,,0.00,0.00,default,0,0,no
Nadec Fresh Milk 1L,حليب نادك الطازج ١ لتر,BAQ-0025,,Dairy,L,,0.00,0.00,default,0,0,no
Nadec Fresh Milk 2L,حليب نادك الطازج ٢ لتر,BAQ-0026,,Dairy,L,,0.00,0.00,default,0,0,no
Nadec Laban 1L,لبن نادك ١ لتر,BAQ-0027,,Dairy,L,,0.00,0.00,default,0,0,no
