name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
Almarai Fresh Milk 1L,المراعي حليب طازج 1L,BQ-0001-almarai-fresh-milk-1,,Dairy & Eggs,L,,4.88,6.50,0,5,yes
Almarai Fresh Milk 2L,المراعي حليب طازج 2L,BQ-0002-almarai-fresh-milk-2,,Dairy & Eggs,L,,9.00,12.00,0,5,yes
Almarai Low Fat Milk 1L,المراعي حليب قليل الدسم 1L,BQ-0003-almarai-low-fat-milk,,Dairy & Eggs,L,,4.50,6.00,0,5,yes
Almarai Laban 1L,المراعي لبن 1L,BQ-0004-almarai-laban-1l,,Dairy & Eggs,L,,4.13,5.50,0,5,yes
Almarai Laban 2L,المراعي لبن 2L,BQ-0005-almarai-laban-2l,,Dairy & Eggs,L,,7.50,10.00,0,5,yes
Almarai Yogurt Plain 170g,المراعي زبادي طبيعي 170g,BQ-0006-almarai-yogurt-plain,,Dairy & Eggs,L,,1.88,2.50,0,5,yes
Almarai Yogurt Strawberry 170g,المراعي زبادي فراولة 170g,BQ-0007-almarai-yogurt-straw,,Dairy & Eggs,L,,1.88,2.50,0,5,yes
Almarai Cheese Slices 200g,المراعي جبن شرائح 200g,BQ-0008-almarai-cheese-slice,,Dairy & Eggs,L,,9.00,12.00,0,5,yes
Almarai Cheddar Cheese 400g,المراعي جبن شيدر 400g,BQ-0009-almarai-cheddar-chee,,Dairy & Eggs,L,,13.50,18.00,0,5,yes
Almarai Feta Cheese 400g,المراعي جبنة فيتا 400g,BQ-0010-almarai-feta-cheese-,,Dairy & Eggs,L,,11.25,15.00,0,5,yes
Almarai Cream Cheese 250g,المراعي جبنة كريمية 250g,BQ-0011-almarai-cream-cheese,,Dairy & Eggs,L,,7.50,10.00,0,5,yes
Almarai Butter 200g,المراعي زبدة 200g,BQ-0012-almarai-butter-200g,,Dairy & Eggs,L,,6.00,8.00,0,5,yes
Almarai Ghee 800g,المراعي سمن 800g,BQ-0013-almarai-ghee-800g,,Dairy & Eggs,L,,26.25,35.00,0,5,yes
Almarai Eggs 30 pcs,المراعي بيض 30 pcs,BQ-0014-almarai-eggs-30-pcs,,Dairy & Eggs,L,,16.50,22.00,0,5,yes
Nadec Fresh Milk 1L,نادك حليب طازج 1L,BQ-0015-nadec-fresh-milk-1l,,Dairy & Eggs,L,,4.50,6.00,0,5,yes
Nadec Fresh Milk 2L,نادك حليب طازج 2L,BQ-0016-nadec-fresh-milk-2l,,Dairy & Eggs,L,,8.63,11.50,0,5,yes
Nadec Laban 1L,نادك لبن 1L,BQ-0017-nadec-laban-1l,,Dairy & Eggs,L,,3.75,5.00,0,5,yes
Nadec Yogurt 170g,نادك زبادي 170g,BQ-0018-nadec-yogurt-170g,,Dairy & Eggs,L,,1.50,2.00,0,5,yes
Nadec Cheese Spread 240g,نادك جبنة مSpreadable 240g,BQ-0019-nadec-cheese-spread-,,Dairy & Eggs,L,,6.75,9.00,0,5,yes
Nadec Butter 200g,نادك زبدة 200g,BQ-0020-nadec-butter-200g,,Dairy & Eggs,L,,5.63,7.50,0,5,yes
