name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
Ompa Energy Drink 250ml,أومبا! جولد مشروب طاقة 250 مل,ITM-16129,,Beverages,ml,,0.00,4.00,48,5,yes
Liquid Abaya Laundry Abaya Colored 1L,"سائل ""عبايات""غسيل العبايات الملون 1 لتر",ITM-04725,,Household & Cleaning,L,,0.00,1.00,-1,5,yes
Adapter Electric SOCKET OUTLET,"محول كهربائي ""SOCKET OUTLET""",ITM-07326,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Juice Almarai Orange 300ml,عصير المراعي 300 مل برتقال 100,ITM-00266,,Beverages,ml,,0.00,3.00,0,5,yes
M&M Peanuts Coated Cola 45g,M&M فول سوداني مغطى بالشوكولاتة 45 غم,ITM-16160,,Beverages,g,,0.00,0.00,0,5,yes
Tahini &Cheese Olives,طحينية &جبنة & زيتون,ITM-01306,,Dairy & Eggs,pcs,,0.00,0.00,0,5,yes
Heater Electric 800,800 سخان كهربائي طبق,ITM-13115,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Heater Electric 900,900 سخان كهربائي طبق,ITM-13116,,Kitchen & Home,pcs,,0.00,0.00,0,5,yes
Peach 420,لبيز خوخ (درق)اصفر مشرح 420غ,ITM-11752,,General,pcs,,0.00,0.00,0,5,yes
Hadaeq Shatoura Pickles Mixed Pickles 100g,حدائق شتورة كبيس مشكل (طرشي)100جرام,ITM-03614,,Canned & Preserved,g,,0.00,0.00,0,5,yes
Hadaeq Shatoura Pickles Mixed Pickles 350g,حدائق شتورة كبيس مشكل (طرشي )350جرام,ITM-03615,,Canned & Preserved,g,,0.00,0.00,0,5,yes
Hadaeq Shatoura Pickles Mixed Pickles 600g,حدائق شتورة كبيس مشكل (طرشي)600جرام,ITM-00348,,Canned & Preserved,g,,0.00,0.00,0,5,yes
750Pack,قالب حلا(جيلي)750كيس,ITM-11406,,General,pcs,,0.00,0.00,0,5,yes
Fine *21Pcs 1 21pcs,فاين بيبي (1)*21حبة,ITM-06889,,General,pcs,,0.00,0.00,0,5,yes
Fine Baby Medium *68Pcs 2 68pcs,بيبي فاين (2)وسط *68حبة,ITM-06987,,Baby Care,pcs,,0.00,0.00,0,5,yes
Sanita Diapers Pampers Small 2 19pcs,سانيتا حفاضات بامبي رقم (2) صغير 19 حبة,ITM-17219,,Personal Care,pcs,,0.00,0.00,0,5,yes
Fine Baby *40Pcs 2 40pcs,بيبي فاين (2)*40حبة,ITM-06992,,Baby Care,pcs,,0.00,0.00,0,5,yes
Fine Baby Large *60Pcs 3 60pcs,بيبي فاين (3)كبير *60حبة,ITM-06887,,Baby Care,pcs,,0.00,0.00,0,5,yes
Bebelac 3 900g,بيبيلاك رقم (3) 900 جم,ITM-13905,,General,g,,0.00,0.00,0,5,yes
Fine Baby *13Pcs 3 13pcs,بيبي فاين (3)*13حبة,ITM-17507,,Baby Care,pcs,,0.00,0.00,0,5,yes
Sanita Pampers *63 4 63pcs,سانتيا بامبي (4(*63ح بعد الخصم,ITM-06990,,Personal Care,pcs,,0.00,0.00,0,5,yes
Fine Baby Large *30Pcs 4 30pcs,بيبي فاين (4)كبير *30حبة,ITM-06886,,Baby Care,pcs,,0.00,0.00,0,5,yes
Fine Baby Large *30Pcs *Tissue Fine 4 30pcs,بيبي فاين (4)كبير *30حبة *مناديل فاين,ITM-08797,,Household & Cleaning,pcs,,0.00,0.00,0,5,yes
Fine Baby Large *54Pcs 4 54pcs,بيبي فاين (4)كبيرة*54حبة,ITM-06985,,Baby Care,pcs,,0.00,0.00,0,5,yes
Fine Baby *12Pcs 4 12pcs,بيبي فاين (4)*12حبة,ITM-17506,,Baby Care,pcs,,0.00,0.00,0,5,yes
Sanita Pampers Large *54Pcs 5 54pcs,سانتيا بامبي (5)كبيرة *54حبة,ITM-06986,,Personal Care,pcs,,0.00,0.00,0,5,yes
Fine Baby *11Pcs 5 11pcs,بيبي فاين (5)*11حبة,ITM-17505,,Baby Care,pcs,,0.00,0.00,0,5,yes
Fine Baby *44Pcs 5 44pcs,بيبي فاين (5)*44حبة,ITM-06993,,Baby Care,pcs,,0.00,0.00,0,5,yes
Sanita Pampers *81Pcs 5 81pcs,سانتيا بامبي (5)*81حبة بعد الخصم,ITM-06989,,Personal Care,pcs,,0.00,0.00,0,5,yes
Sanita Pampers 34Diapers 5,فائظ سانيتا بامبي (5)34حفاض,ITM-03501,,Personal Care,pcs,,0.00,0.00,0,5,yes
Diapers 5,حفاضات بيبي جوي(5)52حفظ,ITM-05423,,Personal Care,pcs,,0.00,0.00,0,5,yes
Diapers 6,حفاضات بيبي جوي(6)19حفاظ,ITM-05422,,Personal Care,pcs,,0.00,0.00,0,5,yes
Pot Al Saif *0.25 0.25L,قدر السيف الذهبي*0.25 لتر,ITM-06774,,Kitchen & Home,L,,0.00,0.00,0,5,yes
Pots *1.5 1.5L,قدور معدنية *1.5 لتر,ITM-06771,,Kitchen & Home,L,,0.00,0.00,0,5,yes
Diapers *10 10pcs,حفاضات بريمري كوليتي *10ح,ITM-06888,,Personal Care,pcs,,0.00,0.00,0,5,yes
Al Kas Small *57 57g,كعك الكاس الصغير سويتز *57 جم,ITM-02395,,General,g,,0.00,1.00,0,5,yes
Cleaner,كوينكس +منظف صحون الوطني,ITM-03840,,Household & Cleaning,pcs,,0.00,0.00,0,5,yes
Shampoo *2 1180ml,فلاش +شامبو السجاد مع العرض1180 ملي *2,ITM-05223,,Personal Care,L,,0.00,0.00,0,5,yes
125ml,كرست كالسي-دنت 125 مل,ITM-09577,,General,ml,,0.00,0.00,0,5,yes
140*3120 140x3120,فور-يو مفارش سفرة 140*3120سم,ITM-00514,,General,pcs,,0.00,0.00,0,5,yes
17.5g,لواكر-قاردنا بجوز الهند 17.5 جم,ITM-00352,,General,g,,0.00,0.00,0,5,yes
65g,ايس كريم بوب -ويتش 65ج,ITM-14174,,Personal Care,g,,0.00,0.00,0,5,yes
7UP 3pcs,في - تو اسفنجة التنظيف 3 حبة,ITM-05765,,Beverages,pcs,,0.00,0.00,0,5,yes
Flavored Cheese 16g,صن رنق -مقرمشات بطعم الجبن 16ج,ITM-03183,,Dairy & Eggs,g,,0.00,1.00,0,5,yes
Cream Banana 24*20 24x20g,ويفر خلق-جوفرويت بحشو كريمة الموز 24*20ج,ITM-03881,,Snacks & Confectionery,g,,0.00,0.00,0,5,yes
Cream Chocolate 24*25 24x25g,قارصا مينؤت -دريم نوجة بكريمة الشوكلاتة 24*25ج,ITM-08096,,Beverages,g,,0.00,0.00,0,5,yes
Hazelnut 17.5g,لواكر-قاردنا بندق 17.5 جم,ITM-04773,,General,g,,0.00,0.00,0,5,yes
Hazelnut 38g,لواكر-جاردينا بالبندق 38 جم,ITM-08860,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
Flavored Onion,صن رنق-مقرمشات بطعم البصل,ITM-01547,,Fresh Produce,pcs,,0.00,0.00,0,5,yes
Sauce 24*25 24x25g,قارصا -كلاس كعكة الكاكاو بصلصة الكرز 24*25ج,ITM-08093,,Canned & Preserved,g,,0.00,0.00,0,5,yes
Shampoo 600ml,دوف -شامبو العناية اليومية 600 مل,ITM-15576,,Personal Care,L,,0.00,0.00,0,5,yes
100*90 100x90,فور . يو سفرة عائلية 100*90سم,ITM-15010,,General,pcs,,0.00,0.00,0,5,yes
200 +,ش.لبتون 200خيط +ترمس مجانا,ITM-15229,,General,pcs,,0.00,0.00,0,5,yes
Eggs 60g,ش.ابيض صيني 60 ج,ITM-09649,,Dairy & Eggs,g,,0.00,0.00,0,5,yes
Lays 2*225+105 2x225 105g,ش.بنتليزر 2*225+105ج,ITM-09946,,Snacks & Confectionery,g,,0.00,0.00,0,5,yes
Pistachio 454g,حلوى حلقوم تركي بالفستق 454ج,ITM-01766,,Snacks & Confectionery,g,,0.00,0.00,0,5,yes
Kasat Bwrmywly 3hbat Rqm,كاسات بورميولي 3حبات رقم 49900,ITM-08137,,General,pcs,,0.00,0.00,0,5,yes
Kasat Bwrmywly 3hbat Rqm,كاسات بورميولي 3حبات رقم 49920,ITM-08140,,General,pcs,,0.00,0.00,0,5,yes
Al Rabie 1.2+180 1.2 180g,ش.الربيع لون ذهبي 1.2+180ج,ITM-09588,,General,g,,0.00,0.00,0,5,yes
Al Rabie Green 100Pack,ش.الربيع اخضر طعم رائع 100كيس,ITM-09585,,General,pcs,,0.00,0.00,0,5,yes
Al Rabie 100Pack,ش.الربيع اكسبرس طعم سلس 100كيس,ITM-09586,,General,pcs,,0.00,18.00,0,5,yes
Al Rabie Green 100+12Pack,ش.الربيع اخضر بالنعناع 100+12كيس,ITM-09944,,General,pcs,,0.00,0.00,0,5,yes
Al Rabie 20Pack,ش.الربيع بابونج 20كيس,ITM-15481,,General,pcs,,0.00,0.00,0,5,yes
