name,name_ar,sku,barcode,category,unit,supplier,cost_price,selling_price,vat,quantity,min_stock,published
! Drink 250,أومبا! جولد مشروب طاقة 250 مل,ITM-16129,,Beverages,ml,,0.00,0.00,default,0,5,yes
""" ""Laundry 1","سائل ""عبايات""غسيل العبايات الملون 1 لتر",ITM-04725,,Household & Cleaning,L,,0.00,0.00,default,0,5,yes
"""SOCKET OUTLET""","محول كهربائي ""SOCKET OUTLET""",ITM-07326,,General,pcs,,0.00,0.00,default,0,5,yes
%Juice 300 Orange 100,%عصير المرعي 300مل برتقال 100,ITM-00266,,Beverages,ml,,0.00,3.00,default,0,5,yes
& Fava Beans Cola 45,ام&امز فول سوداني مغطى بالشوكولاتة 45غم,ITM-16160,,Beverages,pcs,,0.00,0.00,default,0,5,yes
&Cheese & Oil,طحينية &جبنة & زيتون,ITM-01306,,Dairy & Eggs,pcs,,0.00,0.00,default,0,5,yes
'-800,'-800 سخان كهربائي طبق,ITM-13115,,General,pcs,,0.00,0.00,default,0,5,yes
'-900,'-900 سخان كهربائي طبق,ITM-13116,,General,pcs,,0.00,0.00,default,0,5,yes
( ) 420,لبيز خوخ (درق)اصفر مشرح 420غ,ITM-11752,,General,pcs,,0.00,0.00,default,0,5,yes
( )100,حدائق شتورة كبيس مشكل (طرشي)100جرام,ITM-03614,,General,pcs,,0.00,0.00,default,0,5,yes
( )350,حدائق شتورة كبيس مشكل (طرشي )350جرام,ITM-03615,,General,pcs,,0.00,0.00,default,0,5,yes
( )600,حدئق شتورة كبيس مشكل (طرشي)600جرام,ITM-00348,,General,pcs,,0.00,0.00,default,0,5,yes
( )750,قالب حلا(جيلي)750كيس,ITM-11406,,General,pcs,,0.00,0.00,default,0,5,yes
(1)*21,فاين بيبي (1)*21حبة,ITM-06889,,General,pcs,,0.00,0.00,default,0,5,yes
(2) *68,بيبي فاين (2)وسط *68حبة,ITM-06987,,General,pcs,,0.00,0.00,default,0,5,yes
(2) 19,سانيتا جفائظ بامبي رقم (2) صغير 19 حبة,ITM-17219,,General,pcs,,0.00,0.00,default,0,5,yes
(2)*40,بيبي فاين (2)*40حبة,ITM-06992,,General,pcs,,0.00,0.00,default,0,5,yes
(3) *60,بيبي فاين (3)كبير *60حبة,ITM-06887,,General,pcs,,0.00,0.00,default,0,5,yes
(3) 900,بيبيلاك رقم (3) 900جم,ITM-13905,,General,g,,0.00,0.00,default,0,5,yes
(3)*13,بيبي فاين (3)*13حبة,ITM-17507,,General,pcs,,0.00,0.00,default,0,5,yes
(4(*63,سانتيا بامبي (4(*63ح بعد الخصم,ITM-06990,,General,pcs,,0.00,0.00,default,0,5,yes
(4) *30,بيبي فاين (4)كبير *30حبة,ITM-06886,,General,pcs,,0.00,0.00,default,0,5,yes
(4) *30 *Tissue,بيبي فاين (4)كبير *30حبة *مناديل فاين,ITM-08797,,Household & Cleaning,pcs,,0.00,0.00,default,0,5,yes
(4) *54,بيبي فاين (4)كبيرة*54حبة,ITM-06985,,General,pcs,,0.00,0.00,default,0,5,yes
(4)*12,بيبي فاين (4)*12حبة,ITM-17506,,General,pcs,,0.00,0.00,default,0,5,yes
(5) *54,سانتيا بامبي (5)كبيرة *54حبة,ITM-06986,,General,pcs,,0.00,0.00,default,0,5,yes
(5)*11,بيبي فاين (5)*11حبة,ITM-17505,,General,pcs,,0.00,0.00,default,0,5,yes
(5)*44,بيبي فاين (5)*44حبة,ITM-06993,,General,pcs,,0.00,0.00,default,0,5,yes
(5)*81,سانتيا بامبي (5)*81حبة بعد الخصم,ITM-06989,,General,pcs,,0.00,0.00,default,0,5,yes
(5)34Diapers,فائظ سانيتا بامبي (5)34حفاض,ITM-03501,,Personal Care,pcs,,0.00,0.00,default,0,5,yes
(5)52,جفائظ بيبي جوي(5)52حفظ,ITM-05423,,General,pcs,,0.00,0.00,default,0,5,yes
(6)19,حفائض بيبي جوي(6)19حفاظ,ITM-05422,,General,pcs,,0.00,0.00,default,0,5,yes
*0.25,قدر السيف الذهبي*0.25لتر,ITM-06774,,General,L,,0.00,0.00,default,0,5,yes
*1.5,قدور معدنية *1.5لتر,ITM-06771,,General,L,,0.00,0.00,default,0,5,yes
*10,حفائض بريمري كوليتي *10ح,ITM-06888,,General,pcs,,0.00,0.00,default,0,5,yes
*57,كعك الكاس الصغير سويتز *57 جم,ITM-02395,,General,g,,0.00,1.00,default,0,5,yes
+Cleaner,كوينكس +منظف صحون الوطني,ITM-03840,,Household & Cleaning,pcs,,0.00,0.00,default,0,5,yes
+Shampoo 1180 *2,فلاش +شامبو السجاد مع العرض1180 ملي *2,ITM-05223,,Personal Care,L,,0.00,0.00,default,0,5,yes
- 125,كرست كالسي-دنت 125مل,ITM-09577,,General,ml,,0.00,0.00,default,0,5,yes
- 140*3120,فور-يو مفارش سفرة 140*3120سم,ITM-00514,,General,pcs,,0.00,0.00,default,0,5,yes
- 17.5,لواكر-قاردنا بجوز الهند 17.5جم,ITM-00352,,General,g,,0.00,0.00,default,0,5,yes
- 65,ايس كريم بوب -ويتش 65ج,ITM-14174,,Personal Care,g,,0.00,0.00,default,0,5,yes
- 7UP 3,في - تو اسفنجة التنظيف 3 حبة,ITM-05765,,Beverages,pcs,,0.00,0.00,default,0,5,yes
- Cheese 16,صن رنق -مقرمشات بطعم الجبن 16ج,ITM-03183,,Dairy & Eggs,g,,0.00,1.00,default,0,5,yes
- Cream Banana 24*20,ويفر خلق-جوفرويت بحشو كريمة الموز 24*20ج,ITM-03881,,Snacks & Confectionery,g,,0.00,0.00,default,0,5,yes
- Cream Chocolate 24*25,قارصا مينؤت -دريم نوجة بكريمة الشوكلاتة 24*25ج,ITM-08096,,Beverages,g,,0.00,0.00,default,0,5,yes
- Hazelnut 17.5,لواكر-قاردنا بندق 17.5جم,ITM-04773,,General,g,,0.00,0.00,default,0,5,yes
- Hazelnut 38,لواكر-جاردينا بالبندق 38جم,ITM-08860,,Dairy & Eggs,g,,0.00,0.00,default,0,5,yes
- Onion,صن رنق-مقرمشات بطعم البصل,ITM-01547,,Fresh Produce,pcs,,0.00,0.00,default,0,5,yes
- Sauce 24*25,قارصا -كلاس كعكة الكاكاو بصلصة الكرز 24*25ج,ITM-08093,,Canned & Preserved,g,,0.00,0.00,default,0,5,yes
-Shampoo 600,دوف -شامبو العناية اليومية 600 مل,ITM-15576,,Personal Care,L,,0.00,0.00,default,0,5,yes
. 100*90,فور . يو سفرة عائلية 100*90سم,ITM-15010,,General,pcs,,0.00,0.00,default,0,5,yes
