name,name_ar,updated_en,sku,barcode,category,unit,supplier,cost_price,selling_price,quantity,min_stock,published
! Drink 250,أومبا! جولد مشروب طاقة 250 مل,Ompa Energy Drink 250ml,ITM-16129,,Beverages,ml,,0.00,4.00,48,5,yes
""" ""Laundry 1","سائل ""عبايات""غسيل العبايات الملون 1 لتر",Liquid Abaya Laundry Abaya Colored 1L,ITM-04725,,Household & Cleaning,L,,0.00,1.00,-1,5,yes
"""SOCKET OUTLET""","محول كهربائي ""SOCKET OUTLET""",Adapter Electric SOCKET OUTLET,ITM-07326,,General,pcs,,0.00,0.00,0,5,yes
%Juice 300 Orange 100,%عصير المرعي 300مل برتقال 100,Juice Almarai Orange 300ml,ITM-00266,,Beverages,ml,,0.00,3.00,0,5,yes
& Fava Beans Cola 45,ام&امز فول سوداني مغطى بالشوكولاتة 45غم,M&M Peanuts Coated Cola 45g,ITM-16160,,Beverages,pcs,,0.00,0.00,0,5,yes
&Cheese & Oil,طحينية &جبنة & زيتون,Tahini &Cheese Olives,ITM-01306,,Dairy & Eggs,pcs,,0.00,0.00,0,5,yes
'-800,'-800 سخان كهربائي طبق,Heater Electric 800,ITM-13115,,General,pcs,,0.00,0.00,0,5,yes
'-900,'-900 سخان كهربائي طبق,Heater Electric 900,ITM-13116,,General,pcs,,0.00,0.00,0,5,yes
( ) 420,لبيز خوخ (درق)اصفر مشرح 420غ,Peach 420,ITM-11752,,General,pcs,,0.00,0.00,0,5,yes
( )100,حدائق شتورة كبيس مشكل (طرشي)100جرام,Hadaeq Shatoura Pickles Mixed Pickles 100g,ITM-03614,,General,pcs,,0.00,0.00,0,5,yes
( )350,حدائق شتورة كبيس مشكل (طرشي )350جرام,Hadaeq Shatoura Pickles Mixed Pickles 350g,ITM-03615,,General,pcs,,0.00,0.00,0,5,yes
( )600,حدئق شتورة كبيس مشكل (طرشي)600جرام,Hadaeq Shatoura Pickles Mixed Pickles 600g,ITM-00348,,General,pcs,,0.00,0.00,0,5,yes
( )750,قالب حلا(جيلي)750كيس,750Pack,ITM-11406,,General,pcs,,0.00,0.00,0,5,yes
(1)*21,فاين بيبي (1)*21حبة,Fine *21Pcs 1 21pcs,ITM-06889,,General,pcs,,0.00,0.00,0,5,yes
(2) *68,بيبي فاين (2)وسط *68حبة,Fine Baby Medium *68Pcs 2 68pcs,ITM-06987,,General,pcs,,0.00,0.00,0,5,yes
(2) 19,سانيتا جفائظ بامبي رقم (2) صغير 19 حبة,Sanita Diapers Pampers Small 2 19pcs,ITM-17219,,General,pcs,,0.00,0.00,0,5,yes
(2)*40,بيبي فاين (2)*40حبة,Fine Baby *40Pcs 2 40pcs,ITM-06992,,General,pcs,,0.00,0.00,0,5,yes
(3) *60,بيبي فاين (3)كبير *60حبة,Fine Baby Large *60Pcs 3 60pcs,ITM-06887,,General,pcs,,0.00,0.00,0,5,yes
